"","ID","AuthorUserName","AuthorDisplayName","Created","Message","ContentType","ContextUrl","AuthorFollowerCount","LikeCount","TwitterAuthorListedCount","TWAuthorIsVerified","TWRetweetCount","TWReplyCount","TWAuthorCreated","Tags","ZPoints","Sentiment","No.Tags","Engagement.Score"
"1",1.10924e+18,"LibertyMBB","Liberty Menâ€™s Basketball",2019-03-22 23:59:00,"WELCOME TO THE DANCE MR. CABBIL The Senior has 5 straight points. Flames down 19-20.  #MarchMadness ","Video","https://twitter.com/LibertyMBB/statuses/1109243241671450624",8377,14,108,"False",2,0,2011-09-05 17:54:00,"Liberty",29,"Positive","False",16
"2",1.10924e+18,"FSUHoops","FSU Hoops",2019-03-22 23:59:00,"We stand together.  Help a Seminole in need.","Text","https://twitter.com/FSUHoops/statuses/1109243188735291392",63235,3911,635,"True",1838,49,2009-02-20 15:59:00,"Florida State",134,"Positive","False",5798
"3",1.10924e+18,"UBmenshoops","UB Men's Basketball",2019-03-22 23:59:00,"Bulls Cruise to First-Round Win over Arizona State, 91-74  #UBhornsUP |  #UBDancingRecap: ","Photo","https://twitter.com/UBmenshoops/statuses/1109243128421236736",15485,420,172,"True",100,6,2012-08-17 20:32:00,"Buffalo",86,"Positive","False",526
"4",1.10924e+18,"umichbball","Michigan Men's Basketball",2019-03-22 23:58:00,"There is a great challenge ahead of us tomorrow. We'll be ready.  #GoBlue x  #MarchMadness ","Photo","https://twitter.com/umichbball/statuses/1109243059076767744",309001,224,1687,"True",21,1,2009-03-03 16:38:00,"Michigan",68,"Positive","False",246
"5",1.10924e+18,"ACU_MBB","ACU Mens Basketball",2019-03-22 23:57:00,"To our 3 seniors @JayFrank0 @jaren_lewis and @hayden_hf, THANK YOU for what you've done for this program! You've helped lead us to new heights, and you will always be the 1st. Always remember, we are family, and we love ya!   #Legacy ","Video","https://twitter.com/ACU_MBB/statuses/1109242759867699200",3098,165,42,"False",36,0,2013-12-04 16:57:00,"Abilene Christi",66,"Positive","False",201
"6",1.10924e+18,"UW_MBB","Washington Men's Basketball",2019-03-22 23:57:00,"Don't miss any of the second half action.  TNT   KOMO 1000 AM/97.7 FM   #MarchMadness //  #TougherTogether ","Photo","https://twitter.com/UW_MBB/statuses/1109242725327609858",50822,20,516,"True",5,0,2010-12-09 00:43:00,"Washington",42,"Objective","False",25
"7",1.10924e+18,"LibertyMBB","Liberty Menâ€™s Basketball",2019-03-22 23:56:00,"RT @ASUNMBB: Elijah Cuffee amp; Keenan Gumbs w/ triples for @LibertyMBB as the Flames trail Mississippi State, 15-10.  #RiseWithUs  #MarchMadnesâ€¦","Photo","https://twitter.com/LibertyMBB/statuses/1109242390089392128",8371,0,108,"False",0,0,2011-09-05 17:54:00,"Mississippi Sta,Liberty,Mississippi",9,"Objective","False",0
"8",1.10924e+18,"BaylorMBB","Baylor Basketball",2019-03-22 23:56:00,"1âƒ£ more sleep until 2nd round of  #MarchMadness  #SicEm  |  #1TGF € ","Photo","https://twitter.com/BaylorMBB/statuses/1109242364105650176",47519,72,521,"True",9,1,2009-02-21 03:47:00,"Baylor",53,"Positive","False",82
"9",1.10924e+18,"HailStateMBK","Mississippi State Basketball",2019-03-22 23:56:00,"Q and LP have combined for 13 of our 15 PTS on 5-of-6 shooting  #HailState¶ ","Photo","https://twitter.com/HailStateMBK/statuses/1109242354794283008",46683,24,413,"True",7,0,2009-06-08 20:53:00,"Mississippi Sta",47,"Objective","False",31
"10",1.10924e+18,"LibertyMBB","Liberty Menâ€™s Basketball",2019-03-22 23:55:00,"RT @MarchMadnessTV: The @LibertyMBB vs. @HailStateMBK matchup features a pair of twins facing off, just not on the court....@ROSGO21 hasâ€¦","Video","https://twitter.com/LibertyMBB/statuses/1109242303540006912",8371,0,108,"False",0,0,2011-09-05 17:54:00,"Mississippi Sta,Liberty",9,"Objective","False",0
"11",1.10924e+18,"LibertyMBB","Liberty Menâ€™s Basketball",2019-03-22 23:55:00,"RT @SAPCenter: GAME 3âƒ£ has tipped! @LibertyMBB vs. @HailStateMBK  #MarchMadness ","Photo","https://twitter.com/LibertyMBB/statuses/1109242286477635584",8371,0,108,"False",0,0,2011-09-05 17:54:00,"Mississippi Sta,Liberty",9,"Objective","False",0
"12",1.10924e+18,"BoilerBall","Purdue Mens Basketball",2019-03-22 23:54:00,"Busy day with media and practice at the XL Center today.  #Purdue /  #MarchMadness  PHOTOS Â ","Photo","https://twitter.com/BoilerBall/statuses/1109242025264721921",109626,6,600,"True",1,0,2012-01-03 17:05:00,"Purdue",26,"Objective","False",7
"13",1.10924e+18,"HokiesMBB","Virginia Tech Men's Basketball",2019-03-22 23:53:00,"‘‹ Team Send Off ‘‹ #getBETTER |  #Hokies ¦ƒ ","Photo","https://twitter.com/HokiesMBB/statuses/1109241756615241728",31258,125,365,"True",8,0,2011-01-27 20:36:00,"Virginia Tech",50,"Positive","False",133
